# REVIEW BEFORE USE
# Hindi-specific candidate set from UD Hindi-HDTB.
# Categories are provisional and should not be mixed with Telugu categories without review.
word	gloss	morph_type	source	note
है	है	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
था	था	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
हैं	है	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
थे	था	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
होंगे	होना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
होगा	होना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
लीजिए	लेना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
लगाइएगा	लगाना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
सके	सकना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
जाएँ	जाना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
आएंगे	आना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
भूलिएगा	भूलना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
लगेगी	लगना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
देखेंगे	देखना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
लगेगा	लगना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
जाएं	जाना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
उठाइएगा	उठाना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
जाएँगे	जाना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
जाइए	जाना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
जाए	जाना	verb_inflection_chain	UD_Hindi-HDTB	lemma-as-gloss placeholder; requires Hindi-speaker review
